WORLD LOG
=========
World(0/1000), Systems: 4137, Ships: 4, Rebels: 29
StarSystem{loc=(683.3809457994143, 358.3751372418183, 169.72288368515933), nNeigh=19, name='StarID_00000'}
StarSystem{loc=(696.40409357066, 380.278134505575, 144.58128858804136), nNeigh=22, name='StarID_00001'}
StarSystem{loc=(685.7248091207683, 369.39613974696465, 147.41452290776562), nNeigh=22, name='StarID_00002'}
StarSystem{loc=(694.7137174959889, 360.96848724846546, 141.81826332062633), nNeigh=22, name='StarID_00003'}
StarSystem{loc=(695.7974313580384, 358.27186238092236, 145.07131229838186), nNeigh=22, name='StarID_00004'}
StarSystem{loc=(693.5552935059093, 353.786869422915, 157.8238129412182), nNeigh=22, name='StarID_00005'}
StarSystem{loc=(693.7544154189262, 364.5813401618111, 146.26250623457722), nNeigh=22, name='StarID_00006'}
StarSystem{loc=(693.8608660826778, 361.31353878106415, 120.11210104962649), nNeigh=20, name='StarID_00007'}
StarSystem{loc=(692.1261750041053, 356.06130931241825, 174.51313588134286), nNeigh=19, name='StarID_00008'}
StarSystem{loc=(701.2195827643006, 368.11970100184465, 139.2093285619169), nNeigh=22, name='StarID_00009'}
StarSystem{loc=(699.611628791493, 378.05892010723335, 151.35909589715376), nNeigh=22, name='StarID_00010'}
StarSystem{loc=(692.7576136696642, 358.59762864864433, 144.53129527894234), nNeigh=22, name='StarID_00011'}
StarSystem{loc=(689.8036553675842, 353.60486274073645, 144.62864833916294), nNeigh=22, name='StarID_00012'}
StarSystem{loc=(693.9509031013754, 350.33456482878495, 148.51204492733672), nNeigh=22, name='StarID_00013'}
StarSystem{loc=(698.2666479778184, 357.86723834077844, 137.66887254319957), nNeigh=22, name='StarID_00014'}
StarSystem{loc=(698.3084168593895, 376.9049908926469, 125.72736846649647), nNeigh=20, name='StarID_00015'}
StarSystem{loc=(688.6647771665894, 376.7181516336279, 142.44122546946383), nNeigh=22, name='StarID_00016'}
StarSystem{loc=(697.4033667329511, 369.567996306717, 132.01712968607794), nNeigh=22, name='StarID_00017'}
StarSystem{loc=(695.0701912282881, 357.0850339045908, 140.51245493860966), nNeigh=22, name='StarID_00018'}
StarSystem{loc=(695.0819714973238, 361.6725747386568, 141.8402510860256), nNeigh=22, name='StarID_00019'}
StarSystem{loc=(713.8395271886948, 346.74924967321334, 149.8045295548003), nNeigh=23, name='StarID_00020'}
StarSystem{loc=(689.5666665214682, 363.41307659539285, 136.98125127184719), nNeigh=22, name='StarID_00021'}
StarSystem{loc=(712.6304176708443, 363.57837587379316, 122.30519095955634), nNeigh=21, name='StarID_00022'}
StarSystem{loc=(749.9356244489527, 489.51863983312717, 313.4347339109074), nNeigh=28, name='StarID_00023'}
StarSystem{loc=(757.0470022871963, 501.85570578630114, 302.1106108656868), nNeigh=29, name='StarID_00024'}
StarSystem{loc=(749.1574506334152, 485.8015009176195, 303.8647840666423), nNeigh=28, name='StarID_00025'}
StarSystem{loc=(746.4405005722969, 481.6135153879021, 303.6645611399237), nNeigh=28, name='StarID_00026'}
StarSystem{loc=(751.4533111023111, 491.48330568654455, 311.61508091014565), nNeigh=28, name='StarID_00027'}
StarSystem{loc=(750.2129814889106, 495.43164822035646, 318.60768873786833), nNeigh=28, name='StarID_00028'}
StarSystem{loc=(753.7288025294799, 489.9525132155637, 312.33169292766786), nNeigh=28, name='StarID_00029'}
StarSystem{loc=(744.6043591229942, 488.19211887104836, 311.01402382136223), nNeigh=28, name='StarID_00030'}
StarSystem{loc=(756.0639184706239, 494.6500847700899, 293.0265608536891), nNeigh=29, name='StarID_00031'}
StarSystem{loc=(751.1150279756046, 492.1165105013077, 313.0555245720783), nNeigh=28, name='StarID_00032'}
StarSystem{loc=(763.4862253486672, 490.1744094196368, 319.82576035902287), nNeigh=28, name='StarID_00033'}
StarSystem{loc=(762.2316726586923, 479.90797342694015, 314.94797928546035), nNeigh=28, name='StarID_00034'}
StarSystem{loc=(751.0531496214913, 491.87026420002076, 313.5654691126952), nNeigh=28, name='StarID_00035'}
StarSystem{loc=(737.2690068751297, 481.75968042797615, 323.511939174332), nNeigh=28, name='StarID_00036'}
StarSystem{loc=(746.7451026851264, 495.5190957136884, 331.2440723175041), nNeigh=28, name='StarID_00037'}
StarSystem{loc=(749.709265861105, 492.4778048595438, 318.5040284999432), nNeigh=28, name='StarID_00038'}
StarSystem{loc=(763.5061176164288, 497.8245594141073, 316.6562394820717), nNeigh=28, name='StarID_00039'}
StarSystem{loc=(746.4018714002082, 472.3247380486184, 314.3355897964109), nNeigh=28, name='StarID_00040'}
StarSystem{loc=(755.1776287615016, 493.9175681360517, 311.3401313281503), nNeigh=28, name='StarID_00041'}
StarSystem{loc=(743.1618240830277, 503.4036891465354, 310.26965147267634), nNeigh=29, name='StarID_00042'}
StarSystem{loc=(749.2033260118607, 495.7357702296415, 310.8050395502567), nNeigh=29, name='StarID_00043'}
StarSystem{loc=(752.4733641671874, 495.37263087777757, 320.4841207881661), nNeigh=28, name='StarID_00044'}
StarSystem{loc=(755.7653643978903, 488.1234976677135, 308.2506576753994), nNeigh=28, name='StarID_00045'}
StarSystem{loc=(750.6782961519237, 490.92335127456346, 316.35474431220473), nNeigh=28, name='StarID_00046'}
StarSystem{loc=(743.4947913760916, 483.3812606666476, 324.2804148162333), nNeigh=28, name='StarID_00047'}
StarSystem{loc=(761.5351249295727, 491.79979070644475, 323.67327711644083), nNeigh=28, name='StarID_00048'}
StarSystem{loc=(762.4299671184543, 493.7717812769991, 325.4391234232806), nNeigh=28, name='StarID_00049'}
StarSystem{loc=(758.0683894366364, 495.5276806646967, 294.87571100056357), nNeigh=29, name='StarID_00050'}
StarSystem{loc=(746.8877640255736, 497.55732592380747, 307.035875375229), nNeigh=29, name='StarID_00051'}
StarSystem{loc=(704.1422805722142, 806.3261232590473, 916.8500344843926), nNeigh=28, name='StarID_00052'}
StarSystem{loc=(715.6599273084794, 803.7707186457395, 913.6627859170419), nNeigh=27, name='StarID_00053'}
StarSystem{loc=(745.3263986549309, 814.6183992685374, 897.8121838999717), nNeigh=21, name='StarID_00054'}
StarSystem{loc=(715.8764918219076, 803.1747163928361, 905.908866098468), nNeigh=27, name='StarID_00055'}
StarSystem{loc=(713.3988742019299, 804.4393213696095, 908.8302922536756), nNeigh=27, name='StarID_00056'}
StarSystem{loc=(713.9359529420508, 812.8840999340663, 916.5891606585521), nNeigh=30, name='StarID_00057'}
StarSystem{loc=(710.0793724843396, 807.287508729784, 914.1603717541207), nNeigh=28, name='StarID_00058'}
StarSystem{loc=(702.858845147935, 808.176447397474, 900.748229432094), nNeigh=26, name='StarID_00059'}
StarSystem{loc=(749.9885684275182, 805.2781274241305, 931.8727261932426), nNeigh=18, name='StarID_00060'}
StarSystem{loc=(713.2630220890002, 801.1970603691658, 911.8867948428652), nNeigh=27, name='StarID_00061'}
StarSystem{loc=(703.5674271696387, 772.7482709762038, 905.4721809889833), nNeigh=19, name='StarID_00062'}
StarSystem{loc=(700.7895832708494, 812.6806151388286, 947.3759296520602), nNeigh=20, name='StarID_00063'}
StarSystem{loc=(709.7899667268957, 818.0084845595466, 923.014934020133), nNeigh=29, name='StarID_00064'}
StarSystem{loc=(699.764622658531, 802.9869361192783, 903.6958734063624), nNeigh=26, name='StarID_00065'}
StarSystem{loc=(683.340114700802, 803.0558890262353, 926.2788920063375), nNeigh=23, name='StarID_00066'}
StarSystem{loc=(742.4702898445827, 846.8590182945819, 898.2913324147983), nNeigh=7, name='StarID_00067'}
StarSystem{loc=(714.3841807647514, 822.3201168246223, 895.0638398500098), nNeigh=24, name='StarID_00068'}
StarSystem{loc=(745.7940635949785, 802.1427098423973, 918.1812346138881), nNeigh=21, name='StarID_00069'}
StarSystem{loc=(710.8440684346585, 808.9125192191568, 918.1854326345813), nNeigh=29, name='StarID_00070'}
StarSystem{loc=(711.1254600018679, 809.0521970941123, 915.9596805009547), nNeigh=29, name='StarID_00071'}
StarSystem{loc=(711.3942070166601, 809.0195125888553, 954.9845571022779), nNeigh=19, name='StarID_00072'}
StarSystem{loc=(695.2400822108801, 803.8151490257195, 890.8317623087995), nNeigh=22, name='StarID_00073'}
StarSystem{loc=(723.6008789363191, 813.0415890253468, 962.9343409513881), nNeigh=10, name='StarID_00074'}
StarSystem{loc=(687.53420912527, 789.2500126617307, 926.4075351280699), nNeigh=21, name='StarID_00075'}
