WORLD LOG
=========
World(0/1000), Systems: 3943, Ships: 5, Rebels: 30
StarSystem{loc=(832.7048985285242, 952.7344465386436, 249.6608043411705), nNeigh=28, name='StarID_00000'}
StarSystem{loc=(831.1308033959147, 958.4490605102998, 212.8127406321489), nNeigh=24, name='StarID_00001'}
StarSystem{loc=(832.4965141336478, 951.9788745914273, 248.20160624080614), nNeigh=28, name='StarID_00002'}
StarSystem{loc=(815.3449549499019, 938.2670533472567, 222.11546598417715), nNeigh=26, name='StarID_00003'}
StarSystem{loc=(819.2983642626218, 940.6708544143722, 258.5144160234947), nNeigh=26, name='StarID_00004'}
StarSystem{loc=(832.9757364454983, 953.616248261337, 251.4110770186261), nNeigh=28, name='StarID_00005'}
StarSystem{loc=(824.827541400142, 945.1921155401642, 216.43998776569836), nNeigh=26, name='StarID_00006'}
StarSystem{loc=(832.7189659839373, 953.5749830195288, 248.82967728371193), nNeigh=28, name='StarID_00007'}
StarSystem{loc=(833.7591275579252, 969.3390203156082, 246.859810487667), nNeigh=28, name='StarID_00008'}
StarSystem{loc=(837.3423264925713, 947.2171611533269, 256.2045880240078), nNeigh=28, name='StarID_00009'}
StarSystem{loc=(842.7449900208005, 959.5392667168403, 255.38402116015635), nNeigh=28, name='StarID_00010'}
StarSystem{loc=(829.9209834819612, 952.0910341354781, 244.90765886283123), nNeigh=28, name='StarID_00011'}
StarSystem{loc=(825.7264729928085, 952.7442555906417, 229.86705525861285), nNeigh=28, name='StarID_00012'}
StarSystem{loc=(839.8404792827116, 954.3193549422732, 216.47601472074643), nNeigh=27, name='StarID_00013'}
StarSystem{loc=(822.3332242923913, 960.4395530578181, 240.56956816408712), nNeigh=28, name='StarID_00014'}
StarSystem{loc=(832.1263870525485, 953.4718701930659, 271.83560664563595), nNeigh=22, name='StarID_00015'}
StarSystem{loc=(821.8577690473746, 931.4492407709541, 224.39041700658132), nNeigh=26, name='StarID_00016'}
StarSystem{loc=(812.0806835770245, 928.6885425165526, 245.2357554440101), nNeigh=27, name='StarID_00017'}
StarSystem{loc=(836.0277654125487, 945.5428404379845, 250.8394817847429), nNeigh=28, name='StarID_00018'}
StarSystem{loc=(843.7675927018221, 960.3812875669532, 263.9391811302385), nNeigh=24, name='StarID_00019'}
StarSystem{loc=(826.9245343008096, 938.9910712569166, 260.77853876490684), nNeigh=26, name='StarID_00020'}
StarSystem{loc=(844.6431423666842, 971.4158201863, 225.44300602715393), nNeigh=24, name='StarID_00021'}
StarSystem{loc=(839.2228757857349, 945.7441571363157, 257.27812166957733), nNeigh=28, name='StarID_00022'}
StarSystem{loc=(841.076396271668, 950.6002668622399, 240.55474882179325), nNeigh=28, name='StarID_00023'}
StarSystem{loc=(833.8340874156012, 954.6945465842624, 246.13844231722075), nNeigh=28, name='StarID_00024'}
StarSystem{loc=(839.9502774300205, 952.7652129977293, 228.04108211481434), nNeigh=28, name='StarID_00025'}
