WORLD LOG
=========
World(0/1000), Systems: 4090, Ships: 5, Rebels: 31
StarSystem{loc=(838.7368535600751, 695.4664681932674, 267.44012778945876), nNeigh=23, name='StarID_00000'}
StarSystem{loc=(813.6125902117602, 696.3763502833783, 309.07916011428114), nNeigh=35, name='StarID_00001'}
StarSystem{loc=(825.0917202784836, 697.554456845918, 288.9217914626894), nNeigh=31, name='StarID_00002'}
StarSystem{loc=(831.8899897323515, 687.4959330533145, 310.1389648404076), nNeigh=33, name='StarID_00003'}
StarSystem{loc=(822.5249412990912, 695.4517207213052, 269.25857521737504), nNeigh=28, name='StarID_00004'}
StarSystem{loc=(825.715341073362, 697.0867576289048, 272.20272272164726), nNeigh=29, name='StarID_00005'}
StarSystem{loc=(822.2979586739909, 696.6695906576397, 340.7596323336154), nNeigh=20, name='StarID_00006'}
StarSystem{loc=(824.598968907868, 697.3948535411628, 294.44129840528336), nNeigh=32, name='StarID_00007'}
StarSystem{loc=(818.7703447712249, 702.6361694852076, 277.7553660689019), nNeigh=32, name='StarID_00008'}
StarSystem{loc=(815.2781454530943, 698.6836052000618, 305.5803880069366), nNeigh=35, name='StarID_00009'}
StarSystem{loc=(796.7441857518137, 690.538116739159, 302.69570502762656), nNeigh=40, name='StarID_00010'}
StarSystem{loc=(795.4982555667895, 686.3052630947808, 309.2357436542951), nNeigh=35, name='StarID_00011'}
StarSystem{loc=(833.4350076719054, 692.3574750499955, 307.1355822653734), nNeigh=33, name='StarID_00012'}
StarSystem{loc=(805.7991021056597, 695.5317480516247, 316.38714460646645), nNeigh=33, name='StarID_00013'}
StarSystem{loc=(817.5563373717769, 696.3077757946547, 330.43445526074396), nNeigh=28, name='StarID_00014'}
StarSystem{loc=(823.4075786060193, 694.1450962975714, 285.1386203310056), nNeigh=29, name='StarID_00015'}
StarSystem{loc=(798.1803473087211, 696.0543346054039, 309.9388413182807), nNeigh=37, name='StarID_00016'}
StarSystem{loc=(798.8758926838013, 702.6335610954143, 279.766958049623), nNeigh=60, name='StarID_00017'}
StarSystem{loc=(833.2947729838769, 714.7109642002819, 289.64280511592756), nNeigh=29, name='StarID_00018'}
StarSystem{loc=(823.2073562503392, 694.0500549457361, 309.32185321698006), nNeigh=34, name='StarID_00019'}
StarSystem{loc=(825.6767135894528, 694.3208572694213, 308.5870783029352), nNeigh=34, name='StarID_00020'}
StarSystem{loc=(823.365506158002, 696.967091895919, 311.3979517885527), nNeigh=34, name='StarID_00021'}
StarSystem{loc=(827.2080414382291, 695.3840897196784, 307.66652646226595), nNeigh=34, name='StarID_00022'}
StarSystem{loc=(803.4925709697717, 710.3241350925116, 286.46877352436104), nNeigh=54, name='StarID_00023'}
StarSystem{loc=(786.1496455626832, 722.3679724405984, 304.5469879190164), nNeigh=50, name='StarID_00024'}
StarSystem{loc=(819.8278609359525, 690.5390402584178, 314.7163705816438), nNeigh=33, name='StarID_00025'}
StarSystem{loc=(809.9113937580239, 701.8716912459945, 282.56975312114184), nNeigh=36, name='StarID_00026'}
StarSystem{loc=(814.2199683395174, 691.9560943658383, 289.88044343889766), nNeigh=34, name='StarID_00027'}
StarSystem{loc=(816.5569459284459, 699.834312646786, 285.6868444791821), nNeigh=33, name='StarID_00028'}
StarSystem{loc=(823.7364381227351, 695.236140368576, 305.6089958604741), nNeigh=34, name='StarID_00029'}
StarSystem{loc=(820.0499105583386, 697.4817682934541, 340.4094748336765), nNeigh=20, name='StarID_00030'}
StarSystem{loc=(834.3808147379798, 712.7495360667864, 345.3243422189084), nNeigh=15, name='StarID_00031'}
StarSystem{loc=(792.8028489472739, 684.1858641431264, 333.46968854372284), nNeigh=20, name='StarID_00032'}
StarSystem{loc=(833.6942265174008, 726.1210346623384, 288.10017237162776), nNeigh=25, name='StarID_00033'}
StarSystem{loc=(825.2716262441683, 693.4128832289938, 314.5448879155636), nNeigh=34, name='StarID_00034'}
StarSystem{loc=(834.0838468791728, 909.5793074024277, 798.3143324466437), nNeigh=34, name='StarID_00035'}
StarSystem{loc=(883.7341452943919, 944.7301465143299, 752.5621498395265), nNeigh=6, name='StarID_00036'}
StarSystem{loc=(824.0450688228176, 908.870262622674, 740.7506827185108), nNeigh=22, name='StarID_00037'}
StarSystem{loc=(840.0924031078661, 918.1358205314184, 794.8248020935692), nNeigh=26, name='StarID_00038'}
StarSystem{loc=(878.6915621502255, 908.602455369358, 781.1532292176671), nNeigh=19, name='StarID_00039'}
StarSystem{loc=(855.2469909455768, 956.1455830390757, 742.9452277225871), nNeigh=12, name='StarID_00040'}
StarSystem{loc=(837.7322674767727, 927.0914815488776, 781.7028859557789), nNeigh=25, name='StarID_00041'}
StarSystem{loc=(840.8403341528654, 918.4873809233601, 767.11347825808), nNeigh=30, name='StarID_00042'}
StarSystem{loc=(847.2805641149067, 879.0029651540925, 745.7473940515596), nNeigh=19, name='StarID_00043'}
StarSystem{loc=(830.2477406826515, 930.999169279815, 755.166625852899), nNeigh=24, name='StarID_00044'}
StarSystem{loc=(848.5469204422394, 918.0910662516962, 774.2704812746792), nNeigh=30, name='StarID_00045'}
StarSystem{loc=(838.583326088863, 917.4887212727243, 763.6385546116812), nNeigh=30, name='StarID_00046'}
StarSystem{loc=(832.2260670683605, 915.4481706370085, 748.5032697195988), nNeigh=25, name='StarID_00047'}
StarSystem{loc=(841.3781307945516, 894.4755881244621, 769.2051276067177), nNeigh=36, name='StarID_00048'}
StarSystem{loc=(840.1089448037951, 918.7096275324443, 764.5336073218558), nNeigh=30, name='StarID_00049'}
StarSystem{loc=(831.5164706802441, 899.3607209958375, 768.6288788048582), nNeigh=35, name='StarID_00050'}
StarSystem{loc=(844.7527387030875, 939.9891885119242, 743.6638971302827), nNeigh=19, name='StarID_00051'}
StarSystem{loc=(842.6777945415676, 920.7460175063586, 769.6815948684117), nNeigh=29, name='StarID_00052'}
StarSystem{loc=(829.8085282182656, 915.521936934879, 779.9524597263182), nNeigh=30, name='StarID_00053'}
StarSystem{loc=(869.8599037208562, 955.8614335045172, 741.3136483412516), nNeigh=5, name='StarID_00054'}
StarSystem{loc=(848.2648720129473, 898.7558261944724, 769.0177993444528), nNeigh=34, name='StarID_00055'}
StarSystem{loc=(840.9879572981374, 922.1461991805999, 765.4191061825145), nNeigh=28, name='StarID_00056'}
StarSystem{loc=(851.0482325738673, 896.3457249086093, 744.7857189285726), nNeigh=24, name='StarID_00057'}
StarSystem{loc=(852.2338757128482, 938.2438820742477, 759.7401385872257), nNeigh=23, name='StarID_00058'}
StarSystem{loc=(837.3713231278839, 910.859950961115, 789.4609641293611), nNeigh=34, name='StarID_00059'}
StarSystem{loc=(246.40641913758742, 710.6201871757456, 805.4292010325386), nNeigh=25, name='StarID_00060'}
StarSystem{loc=(246.5691844279874, 726.5325880788727, 818.4448652170042), nNeigh=25, name='StarID_00061'}
StarSystem{loc=(238.5247677744679, 731.827117178337, 795.149308663223), nNeigh=26, name='StarID_00062'}
StarSystem{loc=(256.2733248686601, 729.4045279100275, 809.6782856862501), nNeigh=25, name='StarID_00063'}
StarSystem{loc=(245.75772293277592, 725.6629312603914, 824.1430679089423), nNeigh=25, name='StarID_00064'}
StarSystem{loc=(251.8646595903249, 718.3931473543302, 821.8487466038383), nNeigh=25, name='StarID_00065'}
StarSystem{loc=(247.683890414539, 721.3037136302898, 843.0285070682177), nNeigh=25, name='StarID_00066'}
StarSystem{loc=(243.0441564401571, 731.4038724669515, 800.7001088759787), nNeigh=25, name='StarID_00067'}
StarSystem{loc=(242.51313069057966, 720.8706375059907, 841.8387047349026), nNeigh=25, name='StarID_00068'}
StarSystem{loc=(246.57742924656242, 727.6026718474651, 826.1935783495331), nNeigh=25, name='StarID_00069'}
StarSystem{loc=(260.6202753686507, 720.2327868888025, 816.9935690634528), nNeigh=25, name='StarID_00070'}
StarSystem{loc=(248.36992522500907, 727.2961242102192, 838.5001177931471), nNeigh=25, name='StarID_00071'}
StarSystem{loc=(248.69316692219203, 723.9514459599498, 805.5860357869565), nNeigh=25, name='StarID_00072'}
StarSystem{loc=(248.12587731962304, 727.3801403892721, 837.777119192384), nNeigh=25, name='StarID_00073'}
StarSystem{loc=(258.79903417748756, 714.3536826151022, 813.6157870831331), nNeigh=25, name='StarID_00074'}
StarSystem{loc=(238.25205318487338, 723.8708988621452, 806.2060559547887), nNeigh=25, name='StarID_00075'}
StarSystem{loc=(273.00551049709867, 722.4883740180898, 823.9049707400184), nNeigh=25, name='StarID_00076'}
StarSystem{loc=(230.07873967409412, 714.5205877326415, 807.2376424991953), nNeigh=25, name='StarID_00077'}
StarSystem{loc=(253.48642697338693, 718.6417291636274, 826.1540173911035), nNeigh=25, name='StarID_00078'}
StarSystem{loc=(244.93503309217095, 731.9944521390177, 841.0423367674088), nNeigh=25, name='StarID_00079'}
StarSystem{loc=(249.67782170389052, 725.6602410588624, 832.8671055191143), nNeigh=25, name='StarID_00080'}
StarSystem{loc=(248.4098623734532, 726.0406785849626, 828.8738517695039), nNeigh=25, name='StarID_00081'}
StarSystem{loc=(256.9745173071019, 717.5731876588263, 808.3001423411494), nNeigh=25, name='StarID_00082'}
StarSystem{loc=(244.01072839798198, 721.4818246631447, 820.2418178923932), nNeigh=25, name='StarID_00083'}
StarSystem{loc=(246.59017710074647, 709.3976178526971, 834.5419635176424), nNeigh=25, name='StarID_00084'}
StarSystem{loc=(240.5686463191924, 725.331573605472, 821.2810062343825), nNeigh=25, name='StarID_00085'}
StarSystem{loc=(433.1787024892002, 834.0158691729149, 106.20774435850255), nNeigh=29, name='StarID_00086'}
StarSystem{loc=(431.7156279389566, 834.3694372487598, 116.62420027916184), nNeigh=29, name='StarID_00087'}
StarSystem{loc=(438.2884912718004, 833.2077756657321, 126.91189977195975), nNeigh=29, name='StarID_00088'}
StarSystem{loc=(433.1409162401722, 838.9126567781103, 113.34779159069679), nNeigh=29, name='StarID_00089'}
StarSystem{loc=(425.9066578752865, 827.1326459472448, 116.01202811081241), nNeigh=29, name='StarID_00090'}
StarSystem{loc=(417.7721060648667, 839.6635345583736, 124.65150736527113), nNeigh=29, name='StarID_00091'}
