WORLD LOG
=========
World(0/1000), Systems: 4191, Ships: 5, Rebels: 30
StarSystem{loc=(886.7307687381436, 383.97785182535097, 606.2736446587243), nNeigh=24, name='StarID_00000'}
StarSystem{loc=(879.2120857128907, 381.4064760986456, 571.5340359730594), nNeigh=32, name='StarID_00001'}
StarSystem{loc=(892.671498911588, 402.047603504974, 573.7116072840029), nNeigh=25, name='StarID_00002'}
StarSystem{loc=(884.4469776109532, 401.6682403404466, 584.8263993697146), nNeigh=28, name='StarID_00003'}
StarSystem{loc=(862.2604834118785, 390.15997252049766, 575.2274681496167), nNeigh=40, name='StarID_00004'}
StarSystem{loc=(861.921492344308, 409.8799765702985, 555.4360737458426), nNeigh=31, name='StarID_00005'}
StarSystem{loc=(899.710339790349, 396.07795051496186, 589.7991011013761), nNeigh=22, name='StarID_00006'}
StarSystem{loc=(913.7202300830398, 407.3357535531091, 613.7005826476495), nNeigh=16, name='StarID_00007'}
StarSystem{loc=(883.0191738496593, 398.72760412669254, 590.0419334809376), nNeigh=28, name='StarID_00008'}
StarSystem{loc=(887.1481979008523, 400.15604741325376, 582.7701520912024), nNeigh=25, name='StarID_00009'}
StarSystem{loc=(889.5471232304112, 396.5139977597558, 589.2801619889389), nNeigh=26, name='StarID_00010'}
StarSystem{loc=(898.0807835503936, 406.2201066334353, 568.6081801689579), nNeigh=22, name='StarID_00011'}
StarSystem{loc=(887.1182749805532, 404.57180667356386, 593.6835642595872), nNeigh=25, name='StarID_00012'}
StarSystem{loc=(882.5890353265016, 400.4249524245152, 579.2399157094716), nNeigh=27, name='StarID_00013'}
StarSystem{loc=(887.5867274967605, 404.06970373076825, 566.0858359397808), nNeigh=22, name='StarID_00014'}
StarSystem{loc=(893.9427495412896, 401.766919909725, 579.5425860867394), nNeigh=25, name='StarID_00015'}
StarSystem{loc=(884.7553406883061, 382.50519332915735, 576.1416213216771), nNeigh=26, name='StarID_00016'}
StarSystem{loc=(891.176052729924, 398.0317751020646, 560.8621445851952), nNeigh=20, name='StarID_00017'}
StarSystem{loc=(911.8814297907591, 380.1447805407865, 607.3179641892626), nNeigh=18, name='StarID_00018'}
StarSystem{loc=(899.1779423041464, 408.8304025031793, 609.9670527800333), nNeigh=19, name='StarID_00019'}
StarSystem{loc=(887.2063507523706, 400.1080022822605, 565.6410054322539), nNeigh=24, name='StarID_00020'}
StarSystem{loc=(908.1820841518661, 404.52663729819557, 616.045097929145), nNeigh=16, name='StarID_00021'}
StarSystem{loc=(883.631900474295, 406.3671632205807, 620.4808455508834), nNeigh=15, name='StarID_00022'}
StarSystem{loc=(886.1982713492193, 399.8761859197604, 578.4573946516372), nNeigh=27, name='StarID_00023'}
StarSystem{loc=(857.3445642684347, 370.2237779382239, 579.7988642474428), nNeigh=38, name='StarID_00024'}
StarSystem{loc=(320.0130456437435, 91.53101419585033, 449.17121366196784), nNeigh=17, name='StarID_00025'}
StarSystem{loc=(320.29449540142207, 124.48123231324189, 459.49169708651345), nNeigh=23, name='StarID_00026'}
StarSystem{loc=(324.4097385394957, 106.12261878929856, 472.5262795415142), nNeigh=17, name='StarID_00027'}
StarSystem{loc=(312.9703444899604, 91.29085722199306, 477.66163630921585), nNeigh=19, name='StarID_00028'}
StarSystem{loc=(342.49573677447495, 97.9250021952278, 451.2363435303425), nNeigh=16, name='StarID_00029'}
StarSystem{loc=(313.21991223743584, 87.35123270610039, 476.88520124197345), nNeigh=19, name='StarID_00030'}
StarSystem{loc=(315.93218300820905, 91.60004262610082, 480.3580766417096), nNeigh=19, name='StarID_00031'}
StarSystem{loc=(312.9683194524825, 74.05325666441226, 469.26241003928686), nNeigh=18, name='StarID_00032'}
StarSystem{loc=(286.42145123725265, 76.25454569349745, 504.8112637592714), nNeigh=9, name='StarID_00033'}
StarSystem{loc=(304.52102694939015, 93.34979071189936, 453.4805823739135), nNeigh=17, name='StarID_00034'}
StarSystem{loc=(298.10253709940054, 101.31716234368557, 443.90101254995693), nNeigh=16, name='StarID_00035'}
StarSystem{loc=(309.6235143718222, 67.34193265046179, 487.9434838089885), nNeigh=14, name='StarID_00036'}
StarSystem{loc=(313.44370055760385, 63.96097582860374, 447.9799654970152), nNeigh=13, name='StarID_00037'}
StarSystem{loc=(313.71468939001664, 120.71482313942678, 452.40266710367416), nNeigh=19, name='StarID_00038'}
StarSystem{loc=(323.95981414209405, 90.98380560338342, 473.61900823540486), nNeigh=18, name='StarID_00039'}
StarSystem{loc=(313.3238107155322, 98.34052009051462, 486.4410487330827), nNeigh=17, name='StarID_00040'}
StarSystem{loc=(312.95536576224464, 90.98639183253172, 479.26795491012376), nNeigh=19, name='StarID_00041'}
StarSystem{loc=(312.04510694154254, 71.33413848970379, 477.30244524687663), nNeigh=17, name='StarID_00042'}
StarSystem{loc=(311.48252509735147, 86.70035995428788, 515.8770811446713), nNeigh=11, name='StarID_00043'}
StarSystem{loc=(327.5243695426786, 79.21633472821867, 438.89602032563977), nNeigh=14, name='StarID_00044'}
StarSystem{loc=(681.7261825630958, 92.16146297430768, 852.659183825928), nNeigh=21, name='StarID_00045'}
StarSystem{loc=(685.0085013444793, 101.51387746010245, 864.0054095656221), nNeigh=24, name='StarID_00046'}
StarSystem{loc=(682.1508652938892, 94.81933555364267, 829.0909316972566), nNeigh=14, name='StarID_00047'}
StarSystem{loc=(703.4100157156765, 91.23181997321461, 850.5265939090197), nNeigh=18, name='StarID_00048'}
StarSystem{loc=(670.9148676921083, 71.62711114762124, 898.7997126367379), nNeigh=18, name='StarID_00049'}
StarSystem{loc=(667.9016638248304, 90.76682784974227, 848.0043198760948), nNeigh=19, name='StarID_00050'}
StarSystem{loc=(705.6634857081034, 89.80126597684284, 837.0424088395355), nNeigh=15, name='StarID_00051'}
StarSystem{loc=(685.3545162580124, 96.15422781801534, 905.4409986598163), nNeigh=19, name='StarID_00052'}
StarSystem{loc=(707.6373007616642, 103.52766255650103, 839.7376194387334), nNeigh=15, name='StarID_00053'}
StarSystem{loc=(645.9602859482233, 88.24976167772584, 879.0306811315016), nNeigh=21, name='StarID_00054'}
StarSystem{loc=(691.5487793400814, 92.73067235615144, 871.9448581696225), nNeigh=25, name='StarID_00055'}
StarSystem{loc=(675.7614728359111, 83.56074760424862, 899.9077711936592), nNeigh=20, name='StarID_00056'}
StarSystem{loc=(686.3500070172101, 102.25358805122615, 860.4301521165664), nNeigh=22, name='StarID_00057'}
StarSystem{loc=(684.8395239188313, 75.93143879815096, 880.5025923396693), nNeigh=23, name='StarID_00058'}
StarSystem{loc=(678.2978366846379, 98.3250539283664, 872.955557106593), nNeigh=24, name='StarID_00059'}
StarSystem{loc=(687.0498350516709, 68.55223066603872, 898.9737009494935), nNeigh=18, name='StarID_00060'}
StarSystem{loc=(687.9991658968199, 82.78110288263309, 872.8511898406637), nNeigh=25, name='StarID_00061'}
StarSystem{loc=(681.182586692902, 79.9841334135187, 895.418463735951), nNeigh=20, name='StarID_00062'}
StarSystem{loc=(685.2257142385763, 91.08982868029082, 870.8996950661009), nNeigh=25, name='StarID_00063'}
StarSystem{loc=(684.5025901020621, 83.61491830676485, 894.614100360033), nNeigh=22, name='StarID_00064'}
StarSystem{loc=(685.4305390472414, 91.15256529544551, 867.8234966415936), nNeigh=25, name='StarID_00065'}
StarSystem{loc=(685.4383823191188, 91.01926004126659, 870.503965429925), nNeigh=25, name='StarID_00066'}
StarSystem{loc=(659.9810795444185, 92.52000156687517, 868.7647147238209), nNeigh=22, name='StarID_00067'}
StarSystem{loc=(695.552962573264, 85.57355125144903, 878.216611046451), nNeigh=24, name='StarID_00068'}
StarSystem{loc=(647.5508224833168, 89.960884043329, 883.3633293247138), nNeigh=21, name='StarID_00069'}
StarSystem{loc=(440.8485859133434, 57.21099215393221, 368.61753611470147), nNeigh=12, name='StarID_00070'}
StarSystem{loc=(418.4186075524312, 61.032588458979845, 341.32730177301437), nNeigh=23, name='StarID_00071'}
StarSystem{loc=(446.1303905136279, 64.5475615080287, 352.03334669458127), nNeigh=12, name='StarID_00072'}
StarSystem{loc=(441.42721024544477, 39.255374832819896, 368.7043925405053), nNeigh=11, name='StarID_00073'}
StarSystem{loc=(426.4936971028682, 48.24360720157817, 374.9261295273005), nNeigh=12, name='StarID_00074'}
StarSystem{loc=(446.59155406880166, 42.72976526953645, 357.17572071153995), nNeigh=11, name='StarID_00075'}
StarSystem{loc=(434.4547088620023, 48.09479383240383, 356.7246762850629), nNeigh=13, name='StarID_00076'}
StarSystem{loc=(424.42988497801275, 36.31316250499734, 361.5848982197121), nNeigh=13, name='StarID_00077'}
