WORLD LOG
=========
World(0/1000), Systems: 3977, Ships: 5, Rebels: 35
StarSystem{loc=(99.36754379551488, 56.58642794645593, 712.1556707458756), nNeigh=15, name='StarID_00000'}
StarSystem{loc=(103.39427602837735, 72.55959472835717, 680.5516967350142), nNeigh=22, name='StarID_00001'}
StarSystem{loc=(120.31011665821677, 58.108741083295214, 683.6082350521611), nNeigh=22, name='StarID_00002'}
StarSystem{loc=(129.87056945412687, 66.21935558517482, 670.904978169857), nNeigh=21, name='StarID_00003'}
StarSystem{loc=(120.63126907708731, 60.99316527205406, 665.4455727067555), nNeigh=21, name='StarID_00004'}
StarSystem{loc=(138.14703227832348, 83.78678970404754, 666.8556742927074), nNeigh=18, name='StarID_00005'}
StarSystem{loc=(113.8914987838363, 61.43877655079421, 688.6102211977293), nNeigh=22, name='StarID_00006'}
StarSystem{loc=(96.55510177123071, 35.143275535948085, 677.263834771784), nNeigh=20, name='StarID_00007'}
StarSystem{loc=(107.08660284611297, 70.25343191294697, 706.497577068536), nNeigh=18, name='StarID_00008'}
StarSystem{loc=(123.25815680737438, 47.65775712931392, 699.7962629982388), nNeigh=20, name='StarID_00009'}
StarSystem{loc=(112.53351562441743, 43.09623753051706, 680.5195403619036), nNeigh=22, name='StarID_00010'}
StarSystem{loc=(110.48865882833002, 67.37195429361117, 678.189678307159), nNeigh=22, name='StarID_00011'}
StarSystem{loc=(106.8380806613624, 66.86377197766637, 700.2677352708488), nNeigh=21, name='StarID_00012'}
StarSystem{loc=(103.4925197255794, 50.46263957209153, 669.5015483707095), nNeigh=22, name='StarID_00013'}
StarSystem{loc=(123.72961121595931, 90.30364950462459, 683.2589980745042), nNeigh=20, name='StarID_00014'}
StarSystem{loc=(122.88238614969126, 64.19567987106183, 652.0428123501341), nNeigh=17, name='StarID_00015'}
StarSystem{loc=(112.7608925843732, 63.53592369364255, 683.7158909091094), nNeigh=22, name='StarID_00016'}
StarSystem{loc=(116.52580440370251, 63.164399826242445, 681.1004220965503), nNeigh=22, name='StarID_00017'}
StarSystem{loc=(123.63802892476745, 53.498298772671305, 669.7217450200257), nNeigh=22, name='StarID_00018'}
StarSystem{loc=(107.73434653112194, 58.5888250625947, 655.9302793979514), nNeigh=19, name='StarID_00019'}
StarSystem{loc=(98.91122864191672, 70.67458012801336, 705.0691289151922), nNeigh=18, name='StarID_00020'}
StarSystem{loc=(119.0394069698604, 60.764834097524556, 684.0317931064615), nNeigh=22, name='StarID_00021'}
StarSystem{loc=(122.81525543035647, 37.84772487211975, 671.5881466016846), nNeigh=18, name='StarID_00022'}
StarSystem{loc=(392.8279610996387, 298.3983323942162, 894.388854179497), nNeigh=29, name='StarID_00023'}
StarSystem{loc=(386.77815631511993, 303.81308291315844, 881.4238079325277), nNeigh=29, name='StarID_00024'}
StarSystem{loc=(403.48080086054694, 280.31415735799135, 912.0435207576539), nNeigh=29, name='StarID_00025'}
StarSystem{loc=(392.4543071532156, 288.1199770764654, 906.1505598831085), nNeigh=29, name='StarID_00026'}
StarSystem{loc=(396.23832500328837, 297.1781285773324, 918.3859236832328), nNeigh=29, name='StarID_00027'}
StarSystem{loc=(388.7937642565428, 287.5515384728863, 886.7664090423), nNeigh=29, name='StarID_00028'}
StarSystem{loc=(369.8709806975394, 292.82243014663686, 911.7645092122583), nNeigh=29, name='StarID_00029'}
StarSystem{loc=(400.1547466413344, 304.9942891684083, 925.3707397837312), nNeigh=29, name='StarID_00030'}
StarSystem{loc=(387.52140162764357, 303.5497344012088, 910.7124626536722), nNeigh=29, name='StarID_00031'}
StarSystem{loc=(362.1781864534555, 306.38886677403667, 908.9009460195987), nNeigh=28, name='StarID_00032'}
StarSystem{loc=(388.6566101200134, 302.1379207675688, 923.0980601675967), nNeigh=29, name='StarID_00033'}
StarSystem{loc=(387.0600300539142, 303.3983763051451, 907.6741361121981), nNeigh=29, name='StarID_00034'}
StarSystem{loc=(387.6169319283949, 298.0696078029214, 903.0776635333001), nNeigh=29, name='StarID_00035'}
StarSystem{loc=(414.41807094615797, 299.69438884288866, 915.8372382522721), nNeigh=28, name='StarID_00036'}
StarSystem{loc=(388.86336762958916, 303.615458693614, 901.1959627095833), nNeigh=29, name='StarID_00037'}
StarSystem{loc=(390.3284324502086, 304.0657954260741, 919.2011983628784), nNeigh=29, name='StarID_00038'}
StarSystem{loc=(379.570138316937, 308.46414721494995, 919.1921230281639), nNeigh=29, name='StarID_00039'}
StarSystem{loc=(383.4996516325377, 301.8594671062925, 899.4594791475195), nNeigh=29, name='StarID_00040'}
StarSystem{loc=(393.8785317504201, 324.0249809785322, 897.0896678602404), nNeigh=29, name='StarID_00041'}
StarSystem{loc=(391.8542187297772, 316.4333771170847, 911.8286637544438), nNeigh=29, name='StarID_00042'}
StarSystem{loc=(387.6908528485005, 306.30915058853174, 892.9403410552384), nNeigh=29, name='StarID_00043'}
StarSystem{loc=(384.4454038593616, 291.9602159280299, 901.8024880865842), nNeigh=29, name='StarID_00044'}
StarSystem{loc=(372.74584078968485, 308.9684062660016, 919.5540318754726), nNeigh=29, name='StarID_00045'}
StarSystem{loc=(385.2335792872347, 302.69429672819916, 900.4462113074702), nNeigh=29, name='StarID_00046'}
StarSystem{loc=(386.837952232402, 305.83360805808724, 905.0592850469983), nNeigh=29, name='StarID_00047'}
StarSystem{loc=(382.80465182991173, 304.5463389054758, 909.3427009913794), nNeigh=29, name='StarID_00048'}
StarSystem{loc=(389.4608325804296, 304.7312684449638, 898.5644938140664), nNeigh=29, name='StarID_00049'}
StarSystem{loc=(378.6892814862553, 315.2789463647881, 898.7614437623123), nNeigh=29, name='StarID_00050'}
StarSystem{loc=(379.8205458469487, 300.48508484788664, 887.3229925672737), nNeigh=29, name='StarID_00051'}
StarSystem{loc=(392.2088958736922, 282.31522071184946, 904.4889329725137), nNeigh=29, name='StarID_00052'}
StarSystem{loc=(682.2302208077813, 71.12510178725996, 245.05260133222623), nNeigh=31, name='StarID_00053'}
StarSystem{loc=(669.0582860716635, 79.59098948070364, 234.37318282860653), nNeigh=31, name='StarID_00054'}
StarSystem{loc=(676.3888240518071, 66.02248170630813, 222.22895589029747), nNeigh=31, name='StarID_00055'}
StarSystem{loc=(661.7215346125814, 65.10108023120993, 262.0191072892395), nNeigh=30, name='StarID_00056'}
StarSystem{loc=(681.4049524808403, 64.78388497333668, 275.1913531009235), nNeigh=29, name='StarID_00057'}
StarSystem{loc=(699.4498325403082, 51.15400471216847, 231.33646367123018), nNeigh=29, name='StarID_00058'}
StarSystem{loc=(672.9972365761771, 77.57985787958135, 246.04252777531028), nNeigh=31, name='StarID_00059'}
StarSystem{loc=(680.1470689881472, 66.05025795974733, 266.97746260466505), nNeigh=31, name='StarID_00060'}
StarSystem{loc=(687.7589946181487, 69.24467603756132, 240.37240566228382), nNeigh=31, name='StarID_00061'}
