WORLD LOG
=========
World(0/1000), Systems: 3889, Ships: 6, Rebels: 33
StarSystem{loc=(781.905240832695, 46.318078517381, 815.2949974411774), nNeigh=31, name='StarID_00000'}
StarSystem{loc=(795.0857545071842, 61.45953528772387, 794.2969524429452), nNeigh=31, name='StarID_00001'}
StarSystem{loc=(792.3076411801073, 50.380454612555994, 800.3485577387961), nNeigh=31, name='StarID_00002'}
StarSystem{loc=(783.6896481928841, 42.86013205424313, 791.799087185448), nNeigh=31, name='StarID_00003'}
StarSystem{loc=(803.5265628657784, 71.16075374526025, 795.2394384341897), nNeigh=32, name='StarID_00004'}
StarSystem{loc=(793.864895798454, 66.93273866744775, 805.1357827575323), nNeigh=32, name='StarID_00005'}
StarSystem{loc=(792.3156877919886, 51.70259243889049, 786.1159202029031), nNeigh=31, name='StarID_00006'}
StarSystem{loc=(788.8563712107892, 46.24911263737543, 800.9542824091399), nNeigh=31, name='StarID_00007'}
StarSystem{loc=(793.547800980744, 51.37237383927001, 796.5079161197032), nNeigh=31, name='StarID_00008'}
StarSystem{loc=(791.9907604501593, 51.63539190361464, 795.603834678042), nNeigh=31, name='StarID_00009'}
StarSystem{loc=(784.0872805691201, 41.47943335780587, 793.1364234639967), nNeigh=31, name='StarID_00010'}
StarSystem{loc=(784.4201833378005, 48.00738282295434, 789.135895117593), nNeigh=31, name='StarID_00011'}
StarSystem{loc=(800.1757702641656, 38.86015692738033, 796.7934557074118), nNeigh=31, name='StarID_00012'}
StarSystem{loc=(792.7350775357222, 51.94881143257981, 805.8809721287947), nNeigh=31, name='StarID_00013'}
StarSystem{loc=(773.2144695504226, 58.766387829153444, 792.7196047001876), nNeigh=31, name='StarID_00014'}
StarSystem{loc=(803.839633017511, 46.94426670615574, 781.5173270902112), nNeigh=31, name='StarID_00015'}
StarSystem{loc=(791.2487080134921, 52.13620832955866, 797.6210685753219), nNeigh=31, name='StarID_00016'}
StarSystem{loc=(792.4125837380808, 51.98844331134209, 796.8644201682013), nNeigh=31, name='StarID_00017'}
StarSystem{loc=(790.448145330466, 54.1100838134971, 779.6998151901729), nNeigh=31, name='StarID_00018'}
StarSystem{loc=(785.2548193841359, 52.491718180961, 817.3952166986479), nNeigh=31, name='StarID_00019'}
StarSystem{loc=(804.6923309051235, 43.03322264965908, 801.1296465821571), nNeigh=31, name='StarID_00020'}
StarSystem{loc=(790.1314327315033, 47.758024415171555, 795.9500603833394), nNeigh=31, name='StarID_00021'}
StarSystem{loc=(792.8937232117254, 54.93131274278862, 804.2786868313365), nNeigh=31, name='StarID_00022'}
StarSystem{loc=(791.9036107294396, 51.548470266121896, 813.9532361508132), nNeigh=31, name='StarID_00023'}
StarSystem{loc=(795.1704341796284, 49.02964740058074, 806.9716185540107), nNeigh=31, name='StarID_00024'}
StarSystem{loc=(791.259240012493, 56.44407164086321, 780.382982688419), nNeigh=31, name='StarID_00025'}
StarSystem{loc=(774.1078581732304, 40.71677864095096, 789.6766567024363), nNeigh=31, name='StarID_00026'}
StarSystem{loc=(791.447127242348, 44.90509044417263, 799.4802316717704), nNeigh=31, name='StarID_00027'}
StarSystem{loc=(798.1438200224428, 52.43232495917599, 798.4115899315516), nNeigh=31, name='StarID_00028'}
StarSystem{loc=(792.0477631960825, 52.21249863441443, 793.8388722490346), nNeigh=31, name='StarID_00029'}
StarSystem{loc=(783.7662587390215, 48.44124752159496, 782.7700847087468), nNeigh=31, name='StarID_00030'}
StarSystem{loc=(797.6271750640396, 54.225118151734954, 797.3201801895489), nNeigh=31, name='StarID_00031'}
StarSystem{loc=(433.5368455742281, 750.8051832786888, 723.1476456241771), nNeigh=32, name='StarID_00032'}
StarSystem{loc=(417.88542726276705, 751.9221653589567, 728.6115300002702), nNeigh=28, name='StarID_00033'}
StarSystem{loc=(438.7703591234966, 800.7635753004363, 731.608628950221), nNeigh=29, name='StarID_00034'}
StarSystem{loc=(440.8260642416174, 780.3964612825831, 718.5769409960675), nNeigh=34, name='StarID_00035'}
StarSystem{loc=(435.4797847579291, 777.1790067519103, 715.3630756752358), nNeigh=34, name='StarID_00036'}
StarSystem{loc=(428.46330852010203, 767.1330087110844, 716.4990573959519), nNeigh=34, name='StarID_00037'}
StarSystem{loc=(430.6200156991515, 777.8009610676083, 709.5942252437598), nNeigh=32, name='StarID_00038'}
StarSystem{loc=(430.842813072125, 784.1539557134605, 724.8826634887104), nNeigh=34, name='StarID_00039'}
StarSystem{loc=(423.95434000718313, 789.7886234882421, 721.1052670159063), nNeigh=33, name='StarID_00040'}
StarSystem{loc=(443.5753695381575, 782.7290185240512, 743.1050388323843), nNeigh=32, name='StarID_00041'}
StarSystem{loc=(431.5015171138473, 778.3712391741202, 744.3925386697726), nNeigh=32, name='StarID_00042'}
StarSystem{loc=(424.3434759870833, 773.0863470352758, 716.9740196167675), nNeigh=33, name='StarID_00043'}
